Text,Date_with_affect,Date,Price,Open,High,Low,Change
"In the East, it could be the COLDEST New Year's Eve on record. Perhaps we could use a little bit of that good old Global Warming that our Country, but not other countries, was going to pay TRILLIONS OF DOLLARS to protect against. Bundle up!",2017-12-29,2017-12-29,92.12,92.67,92.67,92.08,-0.52
"While the Fake News loves to talk about my so-called low approval rating, @foxandfriends just showed that my rating on Dec. 28, 2017, was approximately the same as President Obama on Dec. 28, 2009, which was 47%...and this despite massive negative Trump coverage and Russia hoax!",2017-12-29,2017-12-29,92.12,92.67,92.67,92.08,-0.52
"Why is the United States Post Office, which is losing many billions of dollars a year, while charging Amazon and others so little to deliver their packages, making Amazon richer and the Post Office dumber and poorer? Should be charging MUCH MORE!",2017-12-29,2017-12-29,92.12,92.67,92.67,92.08,-0.52
"The Democrats have been told, and fully understand, that there can be no DACA without the desperately needed WALL at the Southern Border and an END to the horrible Chain Migration and ridiculous Lottery System of Immigration etc. We must protect our Country at all cost!",2017-12-29,2017-12-29,92.12,92.67,92.67,92.08,-0.52
"Many reports of peaceful protests by Iranian citizens fed up with regime's corruption and its squandering of the nation's wealth to fund terrorism abroad. Iranian govt should respect their people's rights, including right to express themselves. The world is watching! #IranProtests",2017-12-30,2017-12-31,92.28,92.28,92.28,92.28,0.18
"The entire world understands that the good people of Iran want change, and, other than the vast military power of the United States, that Iran's people are what their leaders fear the most.... ",2017-12-30,2017-12-31,92.28,92.28,92.28,92.28,0.18
"Oppressive regimes cannot endure forever, and the day will come when the Iranian people will face a choice. The world is watching! ",2017-12-30,2017-12-31,92.28,92.28,92.28,92.28,0.18
"On Taxes: ""This is the biggest corporate rate cut ever, going back to the corporate income tax rate of roughly 80 years ago.This is a huge pro-growth stimulus for the economy. Every year the Obama WH overstated how the economy would grow. Now real economics and jobs."" @WSJ Report",2017-12-30,2017-12-31,92.28,92.28,92.28,92.28,0.18
"Why would smart voters want to put Democrats in Congress in 2018 Election when their policies will totally kill the great wealth created during the months since the Election. People are much better off now not to mention ISIS, VA, Judges, Strong Border, 2nd A, Tax Cuts and more?",2017-12-31,2017-12-31,92.28,92.28,92.28,92.28,0.18
"What a year it's been, and we're just getting started. Together, we are MAKING AMERICA GREAT AGAIN! Happy New Year!! ",2017-12-31,2017-12-31,92.28,92.28,92.28,92.28,0.18
"My deepest condolences to the victims of the terrible shooting in Douglas County @DCSheriff, and their families. We love our police and law enforcement - God Bless them all! #LESM",2017-12-31,2017-12-31,92.28,92.28,92.28,92.28,0.18
Big protests in Iran. The people are finally getting wise as to how their money and wealth is being stolen and squandered on terrorism. Looks like they will not take it any longer. The USA is watching very closely for human rights violations!,2017-12-31,2017-12-31,92.28,92.28,92.28,92.28,0.18
"""Trump Rally: Stocks put 2017 in the record books"" ",2017-12-31,2017-12-31,92.28,92.28,92.28,92.28,0.18
"Jobs are kicking in and companies are coming back to the U.S. Unnecessary regulations and high taxes are being dramatically Cut, and it will only get better. MUCH MORE TO COME!",2017-12-31,2017-12-31,92.28,92.28,92.28,92.28,0.18
"I use Social Media not because I like to, but because it is the only way to fight a VERY dishonest and unfair ""press,"" now often referred to as Fake News Media. Phony and non-existent ""sources"" are being used more often than ever. Many stories and reports a pure fiction!",2017-12-31,2017-12-31,92.28,92.28,92.28,92.28,0.18
"If the Dems (Crooked Hillary) got elected, your stocks would be down 50% from values on Election Day. Now they have a great future - and just beginning! ",2017-12-31,2017-12-31,92.28,92.28,92.28,92.28,0.18
"Iran, the Number One State of Sponsored Terror with numerous violations of Human Rights occurring on an hourly basis, has now closed down the Internet so that peaceful demonstrators cannot communicate. Not good!",2018-01-01,2018-01-01,92.25,92.29,92.32,92.18,-0.04
"As our Country rapidly grows stronger and smarter, I want to wish all of my friends, supporters, enemies, haters, and even the very dishonest Fake News Media, a Happy and Healthy New Year. 2018 will be a great year for America!",2018-01-01,2018-01-01,92.25,92.29,92.32,92.18,-0.04
"HAPPY NEW YEAR! We are MAKING AMERICA GREAT AGAIN, and much faster than anyone thought possible!",2018-01-01,2018-01-01,92.25,92.29,92.32,92.18,-0.04
"The United States has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years, and they have given us nothing but lies and deceit, thinking of our leaders as fools. They give safe haven to the terrorists we hunt in Afghanistan, with little help. No more!",2018-01-01,2018-01-01,92.25,92.29,92.32,92.18,-0.04
"Iran is failing at every level despite the terrible deal made with them by the Obama Administration. The great Iranian people have been repressed for many years. They are hungry for food and for freedom. Along with human rights, the wealth of Iran is being looted. TIME FOR CHANGE!",2018-01-01,2018-01-01,92.25,92.29,92.32,92.18,-0.04
"Will be leaving Florida for Washington (D.C.) today at 4:00 P.M. Much work to be done, but it will be a great New Year!",2018-01-01,2018-01-01,92.25,92.29,92.32,92.18,-0.04
We will not rest until all of America's GREAT VETERANS can receive the care they so richly deserve. Tremendous progress has been made in a short period of time. Keep up the great work @SecShulkin @DeptVetAffairs! ,2018-01-02,2018-01-02,91.87,92.24,92.25,91.75,-0.41
"Since taking office I have been very strict on Commercial Aviation. Good news - it was just reported that there were Zero deaths in 2017, the best and safest year on record! .impartial journalists of a much higher standard, lose all of your phony and non-existent ""sources,"" and treat the President of the United States FAIRLY, so that the next time I (and the people) win, you won't have to write an apology to your readers for a job poorly done! GL",2018-01-02,2018-01-02,91.87,92.24,92.25,91.75,-0.41
"Sanctions and ""other"" pressures are beginning to have a big impact on North Korea. Soldiers are dangerously fleeing to South Korea. Rocket man now wants to talk to South Korea for first time. Perhaps that is good news, perhaps not - we will see!",2018-01-02,2018-01-02,91.87,92.24,92.25,91.75,-0.41
"Democrats are doing nothing for DACA - just interested in politics. DACA activists and Hispanics will go hard against Dems, will start ""falling in love"" with Republicans and their President! We are about RESULTS.",2018-01-02,2018-01-02,91.87,92.24,92.25,91.75,-0.41
Thank you to Brandon Judd of the National Border Patrol Council for your kind words on how well we are doing at the Border. We will be bringing in more and more of your great folks and will build the desperately needed WALL! @foxandfriends,2018-01-02,2018-01-02,91.87,92.24,92.25,91.75,-0.41
"Crooked Hillary Clinton's top aid, Huma Abedin, has been accused of disregarding basic security protocols. She put Classified Passwords into the hands of foreign agents. Remember sailors pictures on submarine? Jail! Deep State Justice Dept must finally act? Also on Comey and others",2018-01-02,2018-01-02,91.87,92.24,92.25,91.75,-0.41
"The people of Iran are finally acting against the brutal and corrupt Iranian regime. All of the money that President Obama so foolishly gave them went into terrorism and into their ""pockets."" The people have little food, big inflation and no human rights. The U.S. is watching!",2018-01-02,2018-01-02,91.87,92.24,92.25,91.75,-0.41
Companies are giving big bonuses to their workers because of the Tax Cut Bill. Really great!,2018-01-02,2018-01-02,91.87,92.24,92.25,91.75,-0.41
"It's not only Pakistan that we pay billions of dollars to for nothing, but also many other countries, and others. As an example, we pay the Palestinians HUNDRED OF MILLIONS OF DOLLARS a year and get no appreciation or respect. They don't even want to negotiate a long overdue peace treaty with Israel. We have taken Jerusalem, the toughest part of the negotiation, off the table, but Israel, for that, would have had to pay more. But with the Palestinians no longer willing to talk peace, why should we make any of these massive future payments to them?",2018-01-03,2018-01-03,92.16,91.82,92.26,91.81,0.32
"North Korean Leader Kim Jong Un just stated that the ""Nuclear Button is on his desk at all times."" Will someone from his depleted and food starved regime please inform him that I too have a Nuclear Button, but it is a much bigger and more powerful one than his, and my Button works!",2018-01-03,2018-01-03,92.16,91.82,92.26,91.81,0.32
I will be announcing THE MOST DISHONEST and CORRUPT MEDIA AWARDS OF THE YEAR on Monday at 5:00 o'clock. Subjects will cover Dishonesty and Bad Reporting in various categories from the Fake News Media. Stay tuned!,2018-01-03,2018-01-03,92.16,91.82,92.26,91.81,0.32
"""President Trump has something now he didn't have a year ago, that is a set of accomplishments that nobody can deny. The accomplishments are there, look at his record, he has had a very significant first year."" @LouDobbs Show,David Asman and Ed Rollins",2018-01-03,2018-01-03,92.16,91.82,92.26,91.81,0.32
Such respect for the people of Iran as they try to take back their corrupt government. You will see great support from the United States at the appropriate time!,2018-01-03,2018-01-03,92.16,91.82,92.26,91.81,0.32
"Dow just crashes through 25,000. Congrats! Big cuts in unnecessary regulations continuing.",2018-01-04,2018-01-04,91.85,92.22,92.26,91.8,-0.34
"With all of the failed ""experts"" weighing in, does anybody really believe that talks and dialogue would be going on between North and South Korea right now if I wasn't firm, strong and willing to commit our total ""might"" against the North. Fools, but talks are a good thing!",2018-01-04,2018-01-04,91.85,92.22,92.26,91.8,-0.34
"Melania and I are deeply saddened by the death of Thomas S. Monson, a beloved President of the Church of Jesus Christ of Latter-day Saints ""Some 40 U.S. companies have responded to President Trump's tax cut and reform victory in Congress last year by handing out bonuses up to $2,000, increases in 401k matches and spending on charity, a much higher number than previously known."" ",2018-01-04,2018-01-04,91.85,92.22,92.26,91.8,-0.34
"Many mostly Democrat States refused to hand over data from the 2016 Election to the Commission On Voter Fraud. They fought hard that the Commission not see their records or methods because they know that many people are voting illegally. System is rigged, must go to Voter I.D.",2018-01-04,2018-01-04,91.85,92.22,92.26,91.8,-0.34
"Stock Market had another good day but, now that the Tax Cut Bill has passed, we have tremendous upward potential. Dow just short of 25,000, a number that few thought would be possible this soon into my administration. Also, unemployment went down to 4.1%. Only getting better!",2018-01-04,2018-01-04,91.85,92.22,92.26,91.8,-0.34
"As Americans, you need identification, sometimes in a very strong and accurate form, for almost everything you do except when it comes to the most important thing, VOTING for the people that run your country. Push hard for Voter Identification!",2018-01-04,2018-01-04,91.85,92.22,92.26,91.8,-0.34
The Mercer Family recently dumped the leaker known as Sloppy Steve Bannon. Smart!,2018-01-05,2018-01-05,91.95,91.87,92.1,91.78,0.11
"Well, now that collusion with Russia is proving to be a total hoax and the only collusion is with Hillary Clinton and the FBI/Russia, the Fake News Media (Mainstream) and this phony new book are hitting out at every new front imaginable. They should try winning an election. Sad!",2018-01-05,2018-01-05,91.95,91.87,92.1,91.78,0.11
"The Fake News Media barely mentions the fact that the Stock Market just hit another New Record and that business in the U.S. is booming...but the people know! Can you imagine if ""O"" was president and had these numbers - would be biggest story on earth! Dow now over 25,000.",2018-01-05,2018-01-05,91.95,91.87,92.1,91.78,0.11
"I authorized Zero access to White House (actually turned him down many times) for author of phony book! I never spoke to him for book. Full of lies, misrepresentations and sources that don't exist. Look at this guy's past and watch what happens to him and Sloppy Steve!",2018-01-05,2018-01-05,91.95,91.87,92.1,91.78,0.11
"Dow goes from 18,589 on November 9, 2016, to 25,075 today, for a new all-time Record. Jumped 1000 points in last 5 weeks, Record fastest 1000 point move in history. This is all about the Make America Great Again agenda! Jobs, Jobs, Jobs. Six trillion dollars in value created!",2018-01-05,2018-01-05,91.95,91.87,92.1,91.78,0.11
"Thank you to the great Republican Senators who showed up to our mtg on immigration reform. We must BUILD THE WALL, stop illegal immigration, end chain migration and cancel the visa lottery. The current system is unsafe and unfair to the great people of our country - time for change!",2018-01-05,2018-01-05,91.95,91.87,92.1,91.78,0.11
"Michael Wolff is a total loser who made up stories in order to sell this really boring and untruthful book. He used Sloppy Steve Bannon, who cried when he got fired and begged for his job. Now Sloppy Steve has been dumped like a dog by almost everyone. Too bad! ",2018-01-06,2018-01-08,92.36,92.06,92.4,91.88,0.45
"The African American unemployment rate fell to 6.8%, the lowest rate in 45 years. I am so happy about this News! And, in the Washington Post (of all places), headline states, ""Trumps first year jobs numbers were very, very good.""",2018-01-06,2018-01-08,92.36,92.06,92.4,91.88,0.45
"Brian Ross, the reporter who made a fraudulent live newscast about me that drove the Stock Market down 350 points (billions of dollars), was suspended for a month but is now back at ABC NEWS in a lower capacity. He is no longer allowed to report on Trump. Should have been fired!",2018-01-06,2018-01-08,92.36,92.06,92.4,91.88,0.45
"Now that Russian collusion, after one year of intense study, has proven to be a total hoax on the American public, the Democrats and their lapdogs, the Fake News Mainstream Media, are taking out the old Ronald Reagan playbook and screaming mental stability and intelligence .Actually, throughout my life, my two greatest assets have been mental stability and being, like, really smart. Crooked Hillary Clinton also played these cards very hard and, as everyone knows, went down in flames. I went from VERY successful businessman, to top T.V. Star .to President of the United States (on my first try). I think that would qualify as not smart, but genius....and a very stable genius at that!",2018-01-06,2018-01-08,92.36,92.06,92.4,91.88,0.45
"Leaving Camp David for the White House. Great meetings with the Cabinet and Military on many very important subjects including Border Security and the desperately needed Wall, the ever increasing Drug and Opioid Problem, Infrastructure, Military, Budget, Trade and DACA.",2018-01-07,2018-01-08,92.36,92.06,92.4,91.88,0.45
"I've had to put up with the Fake News from the first day I announced that I would be running for President. Now I have to put up with a Fake Book, written by a totally discredited author. Ronald Reagan had the same problem and handled it well. So will I!",2018-01-07,2018-01-08,92.36,92.06,92.4,91.88,0.45
Jake Tapper of Fake News CNN just got destroyed in his interview with Stephen Miller of the Trump Administration. Watch the hatred and unfairness of this CNN flunky!,2018-01-07,2018-01-08,92.36,92.06,92.4,91.88,0.45
"The Fake News Awards, those going to the most corrupt and biased of the Mainstream Media, will be presented to the losers on Wednesday, January 17th, rather than this coming Monday. The interest in, and importance of, these awards is far greater than anyone could have anticipated!",2018-01-07,2018-01-08,92.36,92.06,92.4,91.88,0.45
