"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2015","97.78","96.95","97.82","96.47","0","0.90"
"Oct 27, 2015","96.91","96.80","96.97","96.58","0","0.05"
"Oct 26, 2015","96.86","97.15","97.15","96.68","0","-0.28"
"Oct 23, 2015","97.13","96.40","97.20","96.15","0","0.78"
"Oct 22, 2015","96.38","95.04","96.54","94.94","0","1.42"
"Oct 21, 2015","95.03","94.85","95.08","94.72","0","0.13"
"Oct 20, 2015","94.91","94.93","94.95","94.59","0","-0.02"
"Oct 19, 2015","94.93","94.67","95.00","94.55","0","0.41"
"Oct 16, 2015","94.54","94.47","94.77","94.37","0","0.18"
"Oct 15, 2015","94.37","93.95","94.59","93.81","0","0.47"
"Oct 14, 2015","93.93","94.76","94.76","93.84","0","-0.88"
"Oct 13, 2015","94.76","94.90","94.98","94.54","0","-0.08"
"Oct 12, 2015","94.84","94.86","94.90","94.62","0","0.03"
"Oct 09, 2015","94.81","95.23","95.34","94.69","0","-0.54"
"Oct 08, 2015","95.32","95.57","95.61","94.98","0","-0.19"
"Oct 07, 2015","95.50","95.47","95.70","95.33","0","0.05"
"Oct 06, 2015","95.45","96.05","96.16","95.40","0","-0.69"
"Oct 05, 2015","96.11","95.84","96.17","95.45","0","0.29"
"Oct 02, 2015","95.83","96.14","96.38","95.22","0","-0.37"
"Oct 01, 2015","96.19","96.27","96.49","95.97","0","-0.17"
"Sep 30, 2015","96.35","95.91","96.41","95.85","0","0.51"
"Sep 29, 2015","95.86","96.02","96.24","95.71","0","-0.18"
"Sep 28, 2015","96.03","96.29","96.50","95.90","0","-0.25"
"Sep 25, 2015","96.27","96.24","96.70","96.12","0","-0.43"
"Sep 24, 2015","96.69","96.23","96.69","95.46","0","0.65"
"Sep 23, 2015","96.07","96.31","96.55","96.02","0","-0.22"
"Sep 22, 2015","96.28","95.92","96.40","95.76","0","0.41"
"Sep 21, 2015","95.89","95.36","95.98","95.04","0","1.09"
"Sep 18, 2015","94.86","94.57","95.38","94.06","0","0.33"
"Sep 17, 2015","94.55","95.31","95.39","94.36","0","-0.91"
"Sep 16, 2015","95.42","95.57","95.84","95.16","0","-0.20"
"Sep 15, 2015","95.61","95.30","95.68","95.12","0","0.38"
"Sep 14, 2015","95.25","95.20","95.45","94.91","0","0.06"
"Sep 11, 2015","95.19","95.47","95.69","95.11","0","-0.28"
"Sep 10, 2015","95.46","95.91","96.19","95.40","0","-0.57"
"Sep 09, 2015","96.01","95.84","96.41","95.85","0","0.03"
"Sep 08, 2015","95.98","96.15","96.24","95.73","0","-0.26"
"Sep 07, 2015","96.23","96.15","96.42","96.04","0","0.00"
"Sep 04, 2015","96.23","96.37","96.58","95.97","0","-0.19"
"Sep 03, 2015","96.41","95.95","96.62","95.79","0","0.61"
