"Date","Price","Open","High","Low","Vol.","Change"
"May 16, 2017","49459.62","49680.10","49817.31","49404.63","231.52M","-0.44"
"May 15, 2017","49678.96","49433.95","49733.50","49338.73","166.44M","0.51"
"May 12, 2017","49426.08","49531.87","49566.95","49228.54","161.49M","-0.21"
"May 11, 2017","49530.53","49930.73","49937.07","49458.06","189.15M","-0.80"
"May 10, 2017","49930.54","49941.49","50154.33","49850.10","183.32M","-0.02"
"May 09, 2017","49939.47","49503.04","50026.56","49503.04","169.03M","0.88"
"May 08, 2017","49505.86","49491.42","49582.49","49346.09","112.00M","0.04"
"May 05, 2017","49485.67","48994.68","49485.74","48963.88","154.78M","1.00"
"May 04, 2017","48998.11","49098.06","49312.07","48867.37","162.57M","-0.21"
"May 03, 2017","49099.98","49540.30","49757.96","49070.31","150.61M","-0.99"
"May 02, 2017","49588.84","49260.12","49646.61","49220.77","188.06M","0.66"
"Apr 28, 2017","49261.33","49444.98","49478.26","49151.90","140.42M","-0.36"
"Apr 27, 2017","49440.96","49552.32","49649.47","49184.12","242.50M","-0.25"
"Apr 26, 2017","49565.16","49807.85","50147.04","49130.50","254.57M","-0.49"
"Apr 25, 2017","49808.05","49411.34","49821.47","49411.34","232.99M","0.80"
"Apr 24, 2017","49413.26","48969.69","49504.59","48969.69","127.09M","0.91"
"Apr 21, 2017","48967.83","49131.74","49131.74","48727.74","110.08M","-0.36"
"Apr 20, 2017","49144.96","48882.27","49145.91","48741.05","171.83M","0.55"
"Apr 19, 2017","48873.84","48765.55","48975.44","48727.68","168.76M","0.23"
"Apr 18, 2017","48762.53","49010.22","49012.59","48335.98","124.84M","-0.51"
"Apr 17, 2017","49011.56","48969.04","49222.96","48844.01","115.73M","0.11"
"Apr 12, 2017","48955.82","49607.29","49661.08","48871.89","129.96M","-1.37"
"Apr 11, 2017","49637.93","49540.76","49753.57","49102.80","115.48M","0.20"
"Apr 10, 2017","49540.26","49339.65","49590.85","49163.31","84.46M","0.40"
"Apr 07, 2017","49343.64","49012.22","49393.25","48887.08","120.46M","0.68"
"Apr 06, 2017","49012.42","49207.77","49313.73","48838.85","136.58M","-0.40"
"Apr 05, 2017","49207.61","49339.24","49560.90","49118.21","221.54M","-0.27"
"Apr 04, 2017","49342.77","48799.09","49342.80","48791.43","194.46M","1.07"
"Apr 03, 2017","48819.07","48549.23","49008.81","48461.27","112.93M","0.57"
"Mar 31, 2017","48541.56","48863.13","48925.44","48541.56","250.13M","-0.66"
"Mar 30, 2017","48863.30","49032.09","49068.48","48719.63","146.15M","-0.35"
"Mar 29, 2017","49036.52","49335.81","49335.81","48941.48","189.36M","-0.61"
"Mar 28, 2017","49339.24","49310.77","49523.94","49194.72","167.51M","0.05"
"Mar 27, 2017","49312.99","49082.89","49312.99","48743.81","181.24M","0.47"
"Mar 24, 2017","49083.85","48675.19","49105.31","48595.08","185.41M","0.84"
"Mar 23, 2017","48676.91","48481.15","48898.32","48437.00","179.10M","0.39"
"Mar 22, 2017","48487.30","48592.26","48612.61","48201.81","191.06M","-0.21"
"Mar 21, 2017","48589.05","48593.64","49240.09","48422.84","257.46M","-0.01"
"Mar 17, 2017","48593.44","48066.82","48626.12","47924.89","476.57M","1.12"
"Mar 16, 2017","48056.56","47496.00","48333.61","47333.79","241.30M","1.23"
"Mar 15, 2017","47470.31","47087.77","47583.60","46905.53","183.17M","0.81"
"Mar 14, 2017","47087.97","47095.78","47181.23","46597.58","203.72M","-0.03"
"Mar 13, 2017","47101.14","47093.31","47288.75","46965.88","135.74M","-0.00"
"Mar 10, 2017","47102.31","47262.91","47481.69","47026.37","139.49M","-0.34"
"Mar 09, 2017","47263.92","47538.82","47563.37","47072.57","163.12M","-0.58"
"Mar 08, 2017","47539.22","47410.19","47688.77","47298.72","136.13M","0.25"
"Mar 07, 2017","47419.16","47883.99","47886.24","47406.29","175.52M","-0.97"
"Mar 06, 2017","47883.59","47407.29","47891.33","46995.61","148.82M","0.99"
"Mar 03, 2017","47414.57","47292.30","47574.47","47001.99","121.34M","0.27"
