"Date","Price","Open","High","Low","Vol.","Change"
"Jul 26, 2017","93.61","93.18","93.71","92.98","0","0.46"
"Jul 25, 2017","93.18","93.05","93.54","93.00","0","0.15"
"Jul 24, 2017","93.04","93.37","93.39","92.98","0","-0.35"
"Jul 23, 2017","93.37","93.33","93.38","93.28","0","0.10"
"Jul 21, 2017","93.28","93.13","93.45","93.09","0","0.16"
"Jul 20, 2017","93.13","92.35","93.31","92.15","0","0.84"
"Jul 19, 2017","92.36","92.53","92.55","92.20","0","-0.19"
"Jul 18, 2017","92.53","92.05","92.76","92.04","0","0.51"
"Jul 17, 2017","92.06","92.00","92.11","91.77","0","0.06"
"Jul 16, 2017","92.00","91.97","92.02","91.96","0","0.02"
"Jul 14, 2017","91.98","91.78","92.04","91.70","0","0.22"
"Jul 13, 2017","91.78","91.98","92.17","91.53","0","-0.22"
"Jul 12, 2017","91.98","92.49","92.56","91.82","0","-0.55"
"Jul 11, 2017","92.49","91.93","92.55","91.89","0","0.60"
"Jul 10, 2017","91.94","91.97","92.09","91.86","0","-0.04"
"Jul 09, 2017","91.97","91.92","91.98","91.91","0","0.03"
"Jul 07, 2017","91.95","91.94","92.18","91.82","0","-0.02"
"Jul 06, 2017","91.96","91.46","92.00","91.34","0","0.55"
"Jul 05, 2017","91.46","91.52","91.65","91.31","0","-0.07"
"Jul 04, 2017","91.52","91.66","91.68","91.39","0","-0.15"
"Jul 03, 2017","91.66","91.82","91.83","91.50","0","-0.16"
"Jul 02, 2017","91.81","91.75","91.87","91.75","0","-0.04"
"Jun 30, 2017","91.85","91.95","91.98","91.61","0","-0.11"
"Jun 29, 2017","91.95","91.66","92.04","91.66","0","0.30"
"Jun 28, 2017","91.68","91.48","91.87","91.14","0","0.22"
"Jun 27, 2017","91.48","90.43","91.56","90.41","0","1.16"
"Jun 26, 2017","90.43","90.43","90.61","90.33","0","0.00"
"Jun 25, 2017","90.43","90.43","90.43","90.37","0","0.00"
"Jun 23, 2017","90.42","90.16","90.50","90.14","0","0.29"
"Jun 22, 2017","90.16","90.32","90.36","90.12","0","-0.18"
"Jun 21, 2017","90.32","90.16","90.36","90.09","0","0.18"
"Jun 20, 2017","90.16","90.14","90.30","90.07","0","0.01"
"Jun 19, 2017","90.14","90.42","90.45","90.11","0","-0.31"
"Jun 18, 2017","90.42","90.45","90.45","90.36","0","0.07"
"Jun 16, 2017","90.36","90.06","90.38","90.01","0","0.33"
"Jun 15, 2017","90.06","90.32","90.44","89.70","0","-0.28"
"Jun 14, 2017","90.32","90.35","90.78","90.26","0","-0.03"
"Jun 13, 2017","90.35","90.36","90.52","90.24","0","-0.02"
"Jun 12, 2017","90.37","90.36","90.56","90.33","0","0.01"
"Jun 11, 2017","90.36","90.43","90.44","90.30","0","0.06"
"Jun 09, 2017","90.30","90.23","90.46","90.15","0","0.08"
"Jun 08, 2017","90.23","90.58","90.67","90.15","0","-0.38"
"Jun 07, 2017","90.58","90.67","90.70","90.20","0","-0.10"
"Jun 06, 2017","90.67","90.66","90.75","90.43","0","0.01"
"Jun 05, 2017","90.66","90.84","90.84","90.53","0","-0.19"
"Jun 04, 2017","90.84","90.79","90.88","90.79","0","0.01"
"Jun 02, 2017","90.83","90.49","90.87","90.47","0","0.38"
"Jun 01, 2017","90.49","90.62","90.74","90.43","0","-0.16"
"May 31, 2017","90.63","90.22","90.92","90.19","0","0.45"
"May 30, 2017","90.22","89.92","90.42","89.75","0","0.34"
"May 29, 2017","89.91","90.24","90.35","89.90","0","-0.36"
"May 28, 2017","90.24","90.20","90.31","90.20","0","-0.06"
"May 26, 2017","90.29","90.47","90.60","90.16","0","-0.20"
"May 25, 2017","90.47","90.52","90.66","90.31","0","-0.05"
"May 24, 2017","90.52","90.24","90.53","90.17","0","0.30"
"May 23, 2017","90.25","90.52","90.78","90.19","0","-0.30"
"May 22, 2017","90.52","90.32","90.71","90.05","0","0.23"
"May 21, 2017","90.32","90.25","90.34","90.24","0","0.00"
"May 19, 2017","90.32","89.75","90.36","89.66","0","0.63"
"May 18, 2017","89.76","90.00","90.10","89.56","0","-0.26"
"May 17, 2017","89.99","89.81","90.06","89.69","0","0.20"
"May 16, 2017","89.82","89.12","89.89","89.12","0","0.78"
"May 15, 2017","89.12","88.71","89.16","88.69","0","0.47"
"May 14, 2017","88.71","88.74","88.75","88.67","0","-0.02"
"May 12, 2017","88.73","88.32","88.76","88.27","0","0.46"
"May 11, 2017","88.32","88.41","88.53","88.19","0","-0.10"
"May 10, 2017","88.41","88.46","88.56","88.29","0","-0.05"
"May 09, 2017","88.45","88.67","88.71","88.39","0","-0.24"
"May 08, 2017","88.67","88.83","89.06","88.56","0","-0.19"
"May 07, 2017","88.84","89.20","89.25","88.83","0","-0.25"
"May 05, 2017","89.06","89.01","89.09","88.77","0","0.06"
"May 04, 2017","89.01","88.36","89.03","88.30","0","0.73"
"May 03, 2017","88.37","88.52","88.56","88.31","0","-0.17"
"May 02, 2017","88.52","88.36","88.53","88.21","0","0.18"
"May 01, 2017","88.36","88.23","88.40","88.15","0","0.15"
"Apr 30, 2017","88.23","88.29","88.31","88.15","0","0.07"
"Apr 28, 2017","88.17","87.93","88.50","87.85","0","0.28"
"Apr 27, 2017","87.92","88.27","88.46","87.89","0","-0.39"
"Apr 26, 2017","88.27","88.44","88.63","87.97","0","-0.19"
"Apr 25, 2017","88.43","87.91","88.63","87.86","0","0.59"
"Apr 24, 2017","87.91","87.95","88.04","87.63","0","-0.04"
"Apr 23, 2017","87.95","88.34","88.35","87.88","0","1.27"
"Apr 21, 2017","86.84","86.77","86.90","86.54","0","0.08"
"Apr 20, 2017","86.78","86.70","87.16","86.70","0","0.09"
"Apr 19, 2017","86.70","86.68","86.78","86.61","0","0.03"
"Apr 18, 2017","86.67","86.38","86.73","86.33","0","0.34"
"Apr 17, 2017","86.38","86.07","86.44","86.07","0","0.35"
"Apr 16, 2017","86.07","86.17","86.20","86.06","0","-0.08"
"Apr 14, 2017","86.15","86.23","86.30","86.11","0","-0.10"
"Apr 13, 2017","86.23","86.56","86.60","86.21","0","-0.38"
"Apr 12, 2017","86.56","86.29","86.62","86.15","0","0.31"
"Apr 11, 2017","86.29","86.40","86.53","86.24","0","-0.13"
"Apr 10, 2017","86.40","86.40","86.51","86.31","0","0.00"
"Apr 09, 2017","86.40","86.42","86.45","86.37","0","-0.08"
"Apr 07, 2017","86.47","86.74","86.82","86.44","0","-0.32"
"Apr 06, 2017","86.75","86.85","86.96","86.56","0","-0.13"
"Apr 05, 2017","86.86","87.01","87.06","86.75","0","-0.17"
"Apr 04, 2017","87.00","86.82","87.04","86.62","0","0.21"
"Apr 03, 2017","86.82","86.84","86.93","86.67","0","-0.01"
"Apr 02, 2017","86.84","86.83","86.87","86.74","0","0.11"
"Mar 31, 2017","86.74","87.07","87.18","86.74","0","-0.38"
"Mar 30, 2017","87.07","87.54","87.61","87.00","0","-0.54"
"Mar 29, 2017","87.54","88.01","88.08","87.39","0","-0.52"
"Mar 28, 2017","88.00","88.12","88.17","87.84","0","-0.13"
"Mar 27, 2017","88.12","88.01","88.32","87.95","0","0.13"
"Mar 26, 2017","88.01","87.96","88.04","87.79","0","0.25"
"Mar 24, 2017","87.79","87.60","87.85","87.51","0","0.21"
"Mar 23, 2017","87.60","87.70","87.77","87.48","0","-0.12"
"Mar 22, 2017","87.70","87.89","87.92","87.63","0","-0.22"
"Mar 21, 2017","87.90","87.54","88.02","87.53","0","0.41"
"Mar 20, 2017","87.54","87.57","87.78","87.43","0","-0.03"
"Mar 19, 2017","87.57","87.22","87.59","87.22","0","0.03"
"Mar 17, 2017","87.54","87.91","87.98","87.48","0","-0.42"
"Mar 16, 2017","87.91","87.75","87.93","87.45","0","0.18"
"Mar 15, 2017","87.75","87.10","87.76","87.07","0","0.75"
"Mar 14, 2017","87.10","87.37","87.47","87.04","0","-0.31"
"Mar 13, 2017","87.37","87.76","87.85","87.33","0","-0.45"
"Mar 12, 2017","87.76","88.48","88.48","87.68","0","0.09"
"Mar 10, 2017","87.68","86.97","87.83","86.97","0","0.81"
"Mar 09, 2017","86.97","86.58","87.16","86.46","0","0.45"
"Mar 08, 2017","86.58","86.63","86.71","86.51","0","-0.07"
"Mar 07, 2017","86.64","86.70","86.86","86.59","0","-0.08"
"Mar 06, 2017","86.70","86.92","87.07","86.66","0","-0.25"
"Mar 05, 2017","86.92","86.87","86.95","86.81","0","-0.03"
"Mar 03, 2017","86.95","86.17","86.96","86.14","0","0.91"
"Mar 02, 2017","86.17","86.33","86.38","86.11","0","-0.19"
"Mar 01, 2017","86.33","86.37","86.48","86.12","0","-0.04"
"Feb 28, 2017","86.37","86.41","86.60","86.29","0","-0.05"
